new-namespace,classname,path,old-namespace,test
"Import\Image",AddImageCommand,src/Image/AddImageCommand.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/AddImageCommandTest.php
"Import\Image",AddImageCommandHandler,src/Image/AddImageCommandHandler.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/AddImageCommandHandlerTest.php
ProductListing,AddProductListingCommand,src/Product/AddProductListingCommand.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/AddProductListingCommandTest.php
ProductListing,AddProductListingCommandHandler,src/Product/AddProductListingCommandHandler.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/AddProductListingCommandHandlerTest.php
RestApi,ApiRequestHandlerLocator,src/Api/ApiRequestHandlerLocator.php,"LizardsAndPumpkins\Api",tests/Unit/Suites/Api/ApiRequestHandlerLocatorTest.php
RestApi,ApiRouter,src/Api/ApiRouter.php,"LizardsAndPumpkins\Api",tests/Unit/Suites/Api/ApiRouterTest.php
"RestApi\Exception",ApiVersionMustBeIntException,src/Api/Exception/ApiVersionMustBeIntException.php,"LizardsAndPumpkins\Api\Exception",""
"Import\Product\Composite\Exception",AssociatedProductIsMissingRequiredAttributesException,src/Product/Composite/Exception/AssociatedProductIsMissingRequiredAttributesException.php,"LizardsAndPumpkins\Product\Composite\Exception"
"Import\Product\Composite",AssociatedProductList,src/Product/Composite/AssociatedProductList.php,"LizardsAndPumpkins\Product\Composite",tests/Unit/Suites/Product/Composite/AssociatedProductListTest.php
"Import\Product\Composite",AssociatedProductListBuilder,src/Projection/Catalog/Import/AssociatedProductListBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/AssociatedProductListBuilderTest.php
"Import\Product",AttributeCode,src/Product/AttributeCode.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/AttributeCodeTest.php
"ProductSearch\Import",AttributeValueCollectorLocator,src/Product/ProductSearch/AttributeValueCollectorLocator.php,"LizardsAndPumpkins\Product\ProductSearch",tests/Unit/Suites/Product/ProductSearch/AttributeValueCollectorLocatorTest.php
"Import\ContentBlock",Block,src/Renderer/Block.php,"LizardsAndPumpkins\Renderer",tests/Unit/Suites/Renderer/BlockTest.php
"Import\TemplateRendering\Exception",BlockDoesNotExistException,src/Renderer/Exception/BlockDoesNotExistException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\TemplateRendering\Exception",BlockIsNotAChildOfParentBlockException,src/Renderer/Exception/BlockIsNotAChildOfParentBlockException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\TemplateRendering\Exception",BlockRendererMustHaveOneRootBlockException,src/Renderer/Exception/BlockRendererMustHaveOneRootBlockException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\TemplateRendering",BlockStructure,src/Renderer/BlockStructure.php,"LizardsAndPumpkins\Renderer",tests/Unit/Suites/Renderer/BlockStructureTest.php
"Import\TemplateRendering\Exception",CanNotInstantiateBlockException,src/Renderer/Exception/CanNotInstantiateBlockException.php,"LizardsAndPumpkins\Renderer\Exception"
Import,CatalogImport,src/Projection/Catalog/Import/CatalogImport.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/CatalogImportTest.php
"Import\RestApi\Exception",CatalogImportApiDirectoryNotReadableException,src/Product/Exception/CatalogImportApiDirectoryNotReadableException.php,"LizardsAndPumpkins\Product\Exception"
"Import\RestApi",CatalogImportApiV1PutRequestHandler,src/Product/CatalogImportApiV1PutRequestHandler.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/CatalogImportApiV1PutRequestHandlerTest.php
"Import\Exception",CatalogImportFileDoesNotExistException,src/Projection/Catalog/Import/Exception/CatalogImportFileDoesNotExistException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\RestApi\Exception",CatalogImportFileNameNotFoundInRequestBodyException,src/Product/Exception/CatalogImportFileNameNotFoundInRequestBodyException.php,"LizardsAndPumpkins\Product\Exception"
UNUSED,CatalogImportFileNotReadableException,src/Projection/Catalog/Import/Exception/CatalogImportFileNotReadableException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\XmlParser\Exception",CatalogImportSourceFilePathIsNotAStringException,src/Projection/Catalog/Import/Exception/CatalogImportSourceFilePathIsNotAStringException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\XmlParser\Exception",CatalogImportSourceXmlFileDoesNotExistException,src/Projection/Catalog/Import/Exception/CatalogImportSourceXmlFileDoesNotExistException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\XmlParser\Exception",CatalogImportSourceXmlFileIsNotReadableException,src/Projection/Catalog/Import/Exception/CatalogImportSourceXmlFileIsNotReadableException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\XmlParser\Exception",CatalogImportSourceXMLNotAStringException,src/Projection/Catalog/Import/Exception/CatalogImportSourceXMLNotAStringException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
Import,CatalogListingImportCallbackFailureMessage,src/Projection/Catalog/Import/CatalogListingImportCallbackFailureMessage.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/CatalogListingImportCallbackFailureMessageTest.php
Import,CatalogWasImportedDomainEvent,src/Projection/Catalog/Import/CatalogWasImportedDomainEvent.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/CatalogWasImportedDomainEventTest.php
Import,CatalogWasImportedDomainEventHandler,src/Projection/Catalog/Import/CatalogWasImportedDomainEventHandler.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/CatalogWasImportedDomainEventHandlerTest.php
"Import\XmlParser",CatalogXmlParser,src/Projection/Catalog/Import/CatalogXmlParser.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/CatalogXmlParserTest.php
"Messaging\Command",CommandConsumer,src/CommandConsumer.php,LizardsAndPumpkins,tests/Unit/Suites/CommandConsumerTest.php
"Messaging\Command",CommandHandlerFailedMessage,src/CommandHandlerFailedMessage.php,LizardsAndPumpkins,tests/Unit/Suites/CommandHandlerFailedMessageTest.php
"Messaging\Command",CommandHandlerLocator,src/CommandHandlerLocator.php,LizardsAndPumpkins,tests/Unit/Suites/CommandHandlerLocatorTest.php
"Messaging\Command",CommandProcessedLogMessage,src/Projection/CommandProcessedLogMessage.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/CommandProcessedLogMessageTest.php
"Util\Factory",CommonFactory,src/CommonFactory.php,LizardsAndPumpkins,tests/Unit/Suites/CommonFactoryTest.php
"Logging\Writer",CompositeLogMessageWriter,src/Log/Writer/CompositeLogMessageWriter.php,"LizardsAndPumpkins\Log\Writer",tests/Unit/Suites/Log/Writer/CompositeLogMessageWriterTest.php
"DataPool\SearchEngine\SearchCriteria",CompositeSearchCriterion,src/DataPool/SearchEngine/SearchCriteria/CompositeSearchCriterion.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/CompositeSearchCriterionTest.php
"DataPool\KeyGenerator",CompositeSnippetKeyGeneratorLocatorStrategy,src/SnippetKeyGeneratorLocator/CompositeSnippetKeyGeneratorLocatorStrategy.php,"LizardsAndPumpkins\SnippetKeyGeneratorLocator",tests/Unit/Suites/SnippetKeyGeneratorLocator/CompositeSnippetKeyGeneratorLocatorStrategyTest.php
"Context\Website",ConfigurableHostToWebsiteMap,src/Website/ConfigurableHostToWebsiteMap.php,"LizardsAndPumpkins\Website",tests/Unit/Suites/Website/ConfigurableHostToWebsiteMapTest.php
"Import\Product\Composite",ConfigurableProduct,src/Product/Composite/ConfigurableProduct.php,"LizardsAndPumpkins\Product\Composite",tests/Unit/Suites/Product/Composite/ConfigurableProductTest.php
"Import\Product\Composite\Exception",ConfigurableProductAssociatedProductListInvariantViolationException,src/Product/Composite/Exception/ConfigurableProductAssociatedProductListInvariantViolationException.php,"LizardsAndPumpkins\Product\Composite\Exception"
"ProductSearch\Import",ConfigurableProductAttributeValueCollector,src/Product/ProductSearch/ConfigurableProductAttributeValueCollector.php,"LizardsAndPumpkins\Product\ProductSearch",tests/Unit/Suites/Product/ProductSearch/ConfigurableProductAttributeValueCollectorTest.php
"Import\Product",ConfigurableProductBuilder,src/Projection/Catalog/Import/ConfigurableProductBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/ConfigurableProductBuilderTest.php
"ProductDetail\Import",ConfigurableProductJsonSnippetRenderer,src/Product/ConfigurableProductJsonSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ConfigurableProductJsonSnippetRendererTest.php
"Import\Product",ConfigurableProductXmlToAssociatedProductListBuilder,src/Projection/Catalog/Import/ConfigurableProductXmlToAssociatedProductListBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/ConfigurableProductXmlToAssociatedProductListBuilderTest.php
"Import\Product",ConfigurableProductXmlToProductBuilder,src/Projection/Catalog/Import/ConfigurableProductXmlToProductBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/ConfigurableProductXmlToProductBuilderTest.php
"Import\Product",ConfigurableProductXmlToVariationAttributeList,src/Projection/Catalog/Import/ConfigurableProductXmlToVariationAttributeList.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/ConfigurableProductXmlToVariationAttributeListTest.php
"Import\Product\Exception",ConflictingContextDataForProductAttributeListException,src/Product/Exception/ConflictingContextDataForProductAttributeListException.php,"LizardsAndPumpkins\Product\Exception"
"Import\ContentBlock\RestApi\Exception",ContentBlockBodyIsMissingInRequestBodyException,src/Content/Exception/ContentBlockBodyIsMissingInRequestBodyException.php,"LizardsAndPumpkins\Content\Exception"
"Import\ContentBlock\RestApi\Exception",ContentBlockContextIsMissingInRequestBodyException,src/Content/Exception/ContentBlockContextIsMissingInRequestBodyException.php,"LizardsAndPumpkins\Content\Exception"
"Import\ContentBlock",ContentBlockId,src/Content/ContentBlockId.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockIdTest.php
"Import\ContentBlock",ContentBlockProjector,src/Content/ContentBlockProjector.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockProjectorTest.php
"Import\ContentBlock\RestApi",ContentBlocksApiV1PutRequestHandler,src/Content/ContentBlocksApiV1PutRequestHandler.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlocksApiV1PutRequestHandlerTest.php
"Import\ContentBlock",ContentBlockSnippetKeyGeneratorLocatorStrategy,src/SnippetKeyGeneratorLocator/ContentBlockSnippetKeyGeneratorLocatorStrategy.php,"LizardsAndPumpkins\SnippetKeyGeneratorLocator",tests/Unit/Suites/SnippetKeyGeneratorLocator/ContentBlockSnippetKeyGeneratorLocatorStrategyTest.php
"Import\ContentBlock",ContentBlockSnippetRenderer,src/Content/ContentBlockSnippetRenderer.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockSnippetRendererTest.php
"Import\ContentBlock",ContentBlockSource,src/Content/ContentBlockSource.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockSourceTest.php
"Import\ContentBlock",ContentBlockWasUpdatedDomainEvent,src/Content/ContentBlockWasUpdatedDomainEvent.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockWasUpdatedDomainEventTest.php
"Import\ContentBlock",ContentBlockWasUpdatedDomainEventHandler,src/Content/ContentBlockWasUpdatedDomainEventHandler.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/ContentBlockWasUpdatedDomainEventHandlerTest.php
"Context\Exception",ContextCodeNotFoundException,src/Context/Exception/ContextCodeNotFoundException.php,"LizardsAndPumpkins\Context\Exception"
"Context\Country",ContextCountry,src/Context/ContextBuilder/ContextCountry.php,"LizardsAndPumpkins\Context\ContextBuilder",tests/Unit/Suites/Context/ContextBuilder/ContextCountryTest.php
"DataPool\UrlKeyStore\Exception",ContextDataIsNotAStringException,src/DataPool/UrlKeyStore/Exception/ContextDataIsNotAStringException.php,"LizardsAndPumpkins\DataPool\UrlKeyStore\Exception"
"Context\Locale",ContextLocale,src/Context/ContextBuilder/ContextLocale.php,"LizardsAndPumpkins\Context\ContextBuilder",tests/Unit/Suites/Context/ContextBuilder/ContextLocaleTest.php
"Context\DataVersion",ContextVersion,src/Context/ContextBuilder/ContextVersion.php,"LizardsAndPumpkins\Context\ContextBuilder",tests/Unit/Suites/Context/ContextBuilder/ContextVersionTest.php
"Context\Website",ContextWebsite,src/Context/ContextBuilder/ContextWebsite.php,"LizardsAndPumpkins\Context\ContextBuilder",tests/Unit/Suites/Context/ContextBuilder/ContextWebsiteTest.php
"Http\Exception",CookieNotSetException,src/Http/Exception/CookieNotSetException.php,"LizardsAndPumpkins\Http\Exception"
"Context\Country",Country,src/Country/Country.php,"LizardsAndPumpkins\Country",tests/Unit/Suites/Country/CountryTest.php
Translation,CsvTranslator,src/Renderer/Translation/CsvTranslator.php,"LizardsAndPumpkins\Renderer\Translation",tests/Unit/Suites/Renderer/Translation/CsvTranslatorTest.php
"DataPool\SearchEngine\FacetFieldTransformation",CurrencyPriceRangeTransformation,src/ContentDelivery/Catalog/Search/FacetFieldTransformation/CurrencyPriceRangeTransformation.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation",tests/Unit/Suites/ContentDelivery/Catalog/Search/FacetFieldTransformation/CurrencyPriceRangeTransformationTest.php
DataPool,DataPoolReader,src/DataPool/DataPoolReader.php,"LizardsAndPumpkins\DataPool",tests/Unit/Suites/DataPool/DataPoolReaderTest.php
DataPool,DataPoolWriter,src/DataPool/DataPoolWriter.php,"LizardsAndPumpkins\DataPool",tests/Unit/Suites/DataPool/DataPoolWriterTest.php
"Context\DataVersion",DataVersion,src/DataVersion.php,LizardsAndPumpkins,tests/Unit/Suites/DataVersionTest.php
"DataPool\UrlKeyStore\Exception",DataVersionIsNotAStringException,src/DataPool/UrlKeyStore/Exception/DataVersionIsNotAStringException.php,"LizardsAndPumpkins\DataPool\UrlKeyStore\Exception"
UNUSED,DataVersionMissingInContextDataSetException,src/Context/Exception/DataVersionMissingInContextDataSetException.php,"LizardsAndPumpkins\Context\Exception"
"DataPool\UrlKeyStore\Exception",DataVersionToWriteIsEmptyStringException,src/DataPool/UrlKeyStore/Exception/DataVersionToWriteIsEmptyStringException.php,"LizardsAndPumpkins\DataPool\UrlKeyStore\Exception"
Logging,DebugLogMessage,src/Log/DebugLogMessage.php,"LizardsAndPumpkins\Log",tests/Unit/Suites/Log/DebugLogMessageTest.php
"ProductSearch\Import",DefaultAttributeValueCollector,src/Product/ProductSearch/DefaultAttributeValueCollector.php,"LizardsAndPumpkins\Product\ProductSearch",tests/Unit/Suites/Product/ProductSearch/DefaultAttributeValueCollectorTest.php
"Http\ContentDelivery",DefaultHttpResponse,src/DefaultHttpResponse.php,LizardsAndPumpkins,tests/Unit/Suites/DefaultHttpResponseTest.php
,DefaultWebFront,src/DefaultWebFront.php,LizardsAndPumpkins,tests/Unit/Suites/DefaultWebFrontTest.php
UNUSED,Directory,src/Utils/Directory.php,"LizardsAndPumpkins\Utils",tests/Unit/Suites/Utils/DirectoryTest.php
"Util\Exception",DirectoryDoesNotExistException,src/Utils/Exception/DirectoryDoesNotExistException.php,"LizardsAndPumpkins\Utils\Exception"
"Util\Exception",DirectoryNotWritableException,src/Utils/Exception/DirectoryNotWritableException.php,"LizardsAndPumpkins\Utils\Exception"
"Messaging\Event",DomainEventConsumer,src/DomainEventConsumer.php,LizardsAndPumpkins,tests/Unit/Suites/DomainEventConsumerTest.php
"Messaging\Event\Exception",DomainEventHandlerFailedMessage,src/DomainEventHandlerFailedMessage.php,LizardsAndPumpkins,tests/Unit/Suites/DomainEventHandlerFailedMessageTest.php
"Messaging\Event",DomainEventHandlerLocator,src/DomainEventHandlerLocator.php,LizardsAndPumpkins,tests/Unit/Suites/DomainEventHandlerLocatorTest.php
"Messaging\Event",DomainEventProcessedLogMessage,src/Projection/DomainEventProcessedLogMessage.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/DomainEventProcessedLogMessageTest.php
"Import\Product\Composite\Exception",DuplicateAssociatedProductException,src/Product/Composite/Exception/DuplicateAssociatedProductException.php,"LizardsAndPumpkins\Product\Composite\Exception"
"Import\Product\Listing\Exception",DuplicateProductListingAttributeException,src/Product/Exception/DuplicateProductListingAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"Context\DataVersion\Exception",EmptyVersionException,src/Exception/EmptyVersionException.php,"LizardsAndPumpkins\Exception"
"Http\ContentDelivery\ProductJsonService",EnrichProductJsonWithPrices,src/ContentDelivery/Catalog/ProductJsonService/EnrichProductJsonWithPrices.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductJsonService",tests/Unit/Suites/ContentDelivery/Catalog/ProductJsonService/EnrichProductJsonWithPricesTest.php
"Util\Config\Exception",EnvironmentConfigKeyIsEmptyException,src/Exception/EnvironmentConfigKeyIsEmptyException.php,"LizardsAndPumpkins\Exception"
"Util\Config\Exception",EnvironmentConfigKeyIsNotAStringException,src/Exception/EnvironmentConfigKeyIsNotAStringException.php,"LizardsAndPumpkins\Exception"
"Util\Config",EnvironmentConfigReader,src/EnvironmentConfigReader.php,LizardsAndPumpkins,tests/Unit/Suites/EnvironmentConfigReaderTest.php
"DataPool\SearchEngine",FacetField,src/DataPool/SearchEngine/FacetField.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFieldTest.php
"DataPool\SearchEngine",FacetFieldCollection,src/DataPool/SearchEngine/FacetFieldCollection.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFieldCollectionTest.php
"DataPool\SearchEngine\FacetFieldTransformation",FacetFieldTransformationRegistry,src/ContentDelivery/Catalog/Search/FacetFieldTransformation/FacetFieldTransformationRegistry.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation",tests/Unit/Suites/ContentDelivery/Catalog/Search/FacetFieldTransformation/FacetFieldTransformationRegistryTest.php
"DataPool\SearchEngine",FacetFieldValue,src/DataPool/SearchEngine/FacetFieldValue.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFieldValueTest.php
"DataPool\SearchEngine",FacetFilterRange,src/DataPool/SearchEngine/FacetFilterRange.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFilterRangeTest.php
"DataPool\SearchEngine",FacetFilterRequestRangedField,src/DataPool/SearchEngine/FacetFilterRequestRangedField.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFilterRequestRangedFieldTest.php
"DataPool\SearchEngine",FacetFilterRequestSimpleField,src/DataPool/SearchEngine/FacetFilterRequestSimpleField.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFilterRequestSimpleFieldTest.php
"DataPool\SearchEngine",FacetFiltersToIncludeInResult,src/DataPool/SearchEngine/FacetFiltersToIncludeInResult.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FacetFiltersToIncludeInResultTest.php
"Messaging\Command",FailedToReadFromCommandQueueMessage,src/FailedToReadFromCommandQueueMessage.php,LizardsAndPumpkins,tests/Unit/Suites/FailedToReadFromCommandQueueMessageTest.php
"Messaging\Event",FailedToReadFromDomainEventQueueMessage,src/FailedToReadFromDomainEventQueueMessage.php,LizardsAndPumpkins,tests/Unit/Suites/FailedToReadFromDomainEventQueueMessageTest.php
UNUSED,FileAlreadyExistsWithinGivenPathException,src/Utils/Exception/FileAlreadyExistsWithinGivenPathException.php,"LizardsAndPumpkins\Utils\Exception"
"Import\FileStorage",FileContent,src/Utils/FileStorage/FileContent.php,"LizardsAndPumpkins\Utils\FileStorage",tests/Unit/Suites/Utils/FileStorage/FileContentTest.php
"Import\FileStorage\Exception",FileDoesNotExistException,src/Utils/FileStorage/Exception/FileDoesNotExistException.php,"LizardsAndPumpkins\Utils\FileStorage\Exception"
"Import\FileStorage",FileInStorage,src/Utils/FileStorage/FileInStorage.php,"LizardsAndPumpkins\Utils\FileStorage",tests/Unit/Suites/Utils/FileStorage/FileInStorageTest.php
"Logging\Writer",FileLogMessageWriter,src/Log/Writer/FileLogMessageWriter.php,"LizardsAndPumpkins\Log\Writer",tests/Unit/Suites/Log/Writer/FileLogMessageWriterTest.php
"Util\FileSystem\Exception",FileNotReadableException,src/Utils/Exception/FileNotReadableException.php,"LizardsAndPumpkins\Utils\Exception"
"Util\FileSystem\Exception",FileNotWritableException,src/Utils/Exception/FileNotWritableException.php,"LizardsAndPumpkins\Utils\Exception"
"DataPool\SearchEngine\Filesystem",FileSearchEngine,src/DataPool/SearchEngine/FileSearchEngine.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/FileSearchEngineTest.php
"Import\FileStorage\Exception",FileStorageTypeMismatchException,src/Utils/FileStorage/Exception/FileStorageTypeMismatchException.php,"LizardsAndPumpkins\Utils\FileStorage\Exception"
"Import\FileStorage",FilesystemFileStorage,src/Utils/FileStorage/FilesystemFileStorage.php,"LizardsAndPumpkins\Utils\FileStorage",tests/Unit/Suites/Utils/FileStorage/FilesystemFileStorageTest.php
"Import\FileStorage",FilesystemFileUri,src/Utils/FileStorage/FilesystemFileUri.php,"LizardsAndPumpkins\Utils\FileStorage",tests/Unit/Suites/Utils/FileStorage/FilesystemFileUriTest.php
"Import\ImageStorage",FilesystemImageStorage,src/Utils/ImageStorage/FilesystemImageStorage.php,"LizardsAndPumpkins\Utils\ImageStorage",tests/Unit/Suites/Utils/ImageStorage/FilesystemImageStorageTest.php
"DataPool\UrlKeyStore",FileUrlKeyStore,src/DataPool/UrlKeyStore/FileUrlKeyStore.php,"LizardsAndPumpkins\DataPool\UrlKeyStore",tests/Unit/Suites/DataPool/UrlKeyStore/FileUrlKeyStoreTest.php
"DataPool\SearchEngine",FilterNavigationPriceRangesBuilder,src/ContentDelivery/Catalog/FilterNavigationPriceRangesBuilder.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/FilterNavigationPriceRangesBuilderTest.php
"Http\ContentDelivery",FrontendFactory,src/FrontendFactory.php,LizardsAndPumpkins,tests/Unit/Suites/FrontendFactoryTest.php
"Import\ImageStorage\ImageProcessing\Gd",GdResizeStrategy,src/Image/GdResizeStrategy.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/GdResizeStrategyTest.php
"Http\Routing",GenericHttpRouter,src/Http/GenericHttpRouter.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/GenericHttpRouterTest.php
"DataPool\KeyGenerator",GenericSnippetKeyGenerator,src/GenericSnippetKeyGenerator.php,LizardsAndPumpkins,tests/Unit/Suites/GenericSnippetKeyGeneratorTest.php
"Http\Exception",HeaderNotPresentException,src/Http/Exception/HeaderNotPresentException.php,"LizardsAndPumpkins\Http\Exception"
"Context\BaseUrl",HttpBaseUrl,src/BaseUrl/HttpBaseUrl.php,"LizardsAndPumpkins\BaseUrl",tests/Unit/Suites/BaseUrl/HttpBaseUrlTest.php
Http,HttpGetRequest,src/Http/HttpGetRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpGetRequestTest.php
Http,HttpHeaders,src/Http/HttpHeaders.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpHeadersTest.php
Http,HttpPostRequest,src/Http/HttpPostRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpPostRequestTest.php
