new-namespace,classname,path,old-namespace,test
Http,HttpPutRequest,src/Http/HttpPutRequest.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpPutRequestTest.php
Http,HttpRequestBody,src/Http/HttpRequestBody.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpRequestBodyTest.php
"Http\Routing\Exception",HttpResourceNotFoundResponse,src/Http/HttpResourceNotFoundResponse.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpResourceNotFoundResponseTest.php
"Http\Routing",HttpRouterChain,src/Http/HttpRouterChain.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpRouterChainTest.php
Http,HttpsUrl,src/Http/HttpsUrl.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpsUrlTest.php
Http,HttpUrl,src/Http/HttpUrl.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/HttpUrlTest.php
"Import\Image",ImageFileDoesNotExistException,src/Image/Exception/ImageFileDoesNotExistException.php,"LizardsAndPumpkins\Image\Exception"
"Import\ImageStorage",ImageInStorage,src/Utils/ImageStorage/ImageInStorage.php,"LizardsAndPumpkins\Utils\ImageStorage",tests/Unit/Suites/Utils/ImageStorage/ImageInStorageTest.php
"Import\ImageStorage\ImageProcessing\ImageMagick",ImageMagickInscribeStrategy,src/Image/ImageMagickInscribeStrategy.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageMagickInscribeStrategyTest.php
"Import\ImageStorage\ImageProcessing\ImageMagick",ImageMagickResizeStrategy,src/Image/ImageMagickResizeStrategy.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageMagickResizeStrategyTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessingStrategySequence,src/Image/ImageProcessingStrategySequence.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessingStrategySequenceTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessor,src/Image/ImageProcessor.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessorTest.php
"Import\ImageStorage\ImageProcessing",ImageProcessorCollection,src/Image/ImageProcessorCollection.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageProcessorCollectionTest.php
"Import\Image",ImageWasAddedDomainEvent,src/Image/ImageWasAddedDomainEvent.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageWasAddedDomainEventTest.php
"Import\Image",ImageWasAddedDomainEventHandler,src/Image/ImageWasAddedDomainEventHandler.php,"LizardsAndPumpkins\Image",tests/Unit/Suites/Image/ImageWasAddedDomainEventHandlerTest.php
Logging,InMemoryLogger,src/Log/InMemoryLogger.php,"LizardsAndPumpkins\Log",tests/Unit/Suites/Log/InMemoryLoggerTest.php
"DataPool\SearchEngine\InMemory",InMemorySearchEngine,src/DataPool/SearchEngine/InMemorySearchEngine.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/InMemorySearchEngineTest.php
"DataPool\UrlKeyStore",InMemoryUrlKeyStore,src/DataPool/UrlKeyStore/InMemoryUrlKeyStore.php,"LizardsAndPumpkins\DataPool\UrlKeyStore",tests/Unit/Suites/DataPool/UrlKeyStore/InMemoryUrlKeyStoreTest.php
"Import\Product\View",IntegrationTestConfigurableProductView,src/Projection/Catalog/IntegrationTestConfigurableProductView.php,"LizardsAndPumpkins\Projection\Catalog"
"Import\Product\View",IntegrationTestProductView,src/Projection/Catalog/IntegrationTestProductView.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/IntegrationTestProductViewTest.php
"Import\Product\View",IntegrationTestProductViewLocator,src/Projection/Catalog/IntegrationTestProductViewLocator.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/IntegrationTestProductViewLocatorTest.php
"DataPool\UrlKeyStore",IntegrationTestUrlKeyStoreAbstract,src/DataPool/UrlKeyStore/IntegrationTestUrlKeyStoreAbstract.php,"LizardsAndPumpkins\DataPool\UrlKeyStore"
"Import\Product\Exception",InvalidAttributeCodeException,src/Product/Exception/InvalidAttributeCodeException.php,"LizardsAndPumpkins\Product\Exception"
"Context\BaseUrl\Exception",InvalidBaseUrlSourceDataException,src/BaseUrl/Exception/InvalidBaseUrlSourceDataException.php,"LizardsAndPumpkins\BaseUrl\Exception"
"Import\ImageStorage\ImageProcessing\Exception",InvalidBinaryImageDataException,src/Image/Exception/InvalidBinaryImageDataException.php,"LizardsAndPumpkins\Image\Exception"
"Import\ImageStorage\ImageProcessing\Exception",InvalidColorException,src/Image/Exception/InvalidColorException.php,"LizardsAndPumpkins\Image\Exception"
"Import\ContentBlock\RestApi\Exception",InvalidContentBlockContextException,src/Content/Exception/InvalidContentBlockContextException.php,"LizardsAndPumpkins\Content\Exception"
"Import\ContentBlock\Exception",InvalidContentBlockIdException,src/Content/Exception/InvalidContentBlockIdException.php,"LizardsAndPumpkins\Content\Exception"
"Import\ContentBlock\RestApi\Exception",InvalidContentBlockUrlKey,src/Content/Exception/InvalidContentBlockUrlKey.php,"LizardsAndPumpkins\Content\Exception"
UNUSED,InvalidContextDataStringException,src/DataPool/UrlKeyStore/Exception/InvalidContextDataStringException.php,"LizardsAndPumpkins\DataPool\UrlKeyStore\Exception"
"Context\Country\Exception",InvalidCountrySpecificationException,src/Country/Exception/InvalidCountrySpecificationException.php,"LizardsAndPumpkins\Country\Exception"
"DataPool\SearchEngine\SearchCriteria\Exception",InvalidCriterionConditionException,src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionConditionException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception"
"DataPool\SearchEngine\SearchCriteria\Exception",InvalidCriterionNameException,src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionNameException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception"
"Import\Product\Listing\Exception",InvalidCriterionOperationXmlAttributeException,src/Product/Exception/InvalidCriterionOperationXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"DataPool\SearchEngine\SearchCriteria\Exception",InvalidCriterionValueTypeException,src/DataPool/SearchEngine/SearchCriteria/Exception/InvalidCriterionValueTypeException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria\Exception"
UNUSED,InvalidDirectoryPathException,src/Utils/Exception/InvalidDirectoryPathException.php,"LizardsAndPumpkins\Utils\Exception"
"DataPool\SearchEngine\Exception",InvalidFacetFieldValueCountException,src/DataPool/SearchEngine/Exception/InvalidFacetFieldValueCountException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
"DataPool\SearchEngine\Exception",InvalidFacetFieldValueException,src/DataPool/SearchEngine/Exception/InvalidFacetFieldValueException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
"DataPool\SearchEngine\Exception",InvalidFacetFilterRangeBoundariesException,src/DataPool/SearchEngine/Exception/InvalidFacetFilterRangeBoundariesException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
UNUSED,InvalidFieldListSpecificationException,src/DataPool/SearchEngine/SearchDocument/Exception/InvalidFieldListSpecificationException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception"
"Import\FileStorage\Exception",InvalidFileContentTypeException,src/Utils/FileStorage/Exception/InvalidFileContentTypeException.php,"LizardsAndPumpkins\Utils\FileStorage\Exception"
"Import\FileStorage\Exception",InvalidFileIdentifierException,src/Utils/FileStorage/Exception/InvalidFileIdentifierException.php,"LizardsAndPumpkins\Utils\FileStorage\Exception"
"Import\FileStorage\Exception",InvalidFileURIException,src/Utils/FileStorage/Exception/InvalidFileURIException.php,"LizardsAndPumpkins\Utils\FileStorage\Exception"
"Http\Exception",InvalidHttpHeadersException,src/Http/Exception/InvalidHttpHeadersException.php,"LizardsAndPumpkins\Http\Exception"
"Http\Exception",InvalidHttpRequestBodyException,src/Http/Exception/InvalidHttpRequestBodyException.php,"LizardsAndPumpkins\Http\Exception"
"Import\ImageStorage\ImageProcessing\Exception",InvalidImageDimensionException,src/Image/Exception/InvalidImageDimensionException.php,"LizardsAndPumpkins\Image\Exception"
"Import\ImageStorage\Exception",InvalidImageFileNameException,src/Product/ProductImage/Exception/InvalidImageFileNameException.php,"LizardsAndPumpkins\Product\ProductImage\Exception"
"Import\ImageStorage\Exception",InvalidImageVariantCodeException,src/Product/ProductImage/Exception/InvalidImageVariantCodeException.php,"LizardsAndPumpkins\Product\ProductImage\Exception"
"DataPool\KeyValueStore\Exception",InvalidKeyException,src/Exception/InvalidKeyException.php,"LizardsAndPumpkins\Exception"
"DataPool\KeyValueStore\Exception",InvalidKeyValueStoreKeyException,src/DataPool/Exception/InvalidKeyValueStoreKeyException.php,"LizardsAndPumpkins\DataPool\Exception"
"Import\ImageStorage\Exception",InvalidMediaBaseUrlPathException,src/Utils/ImageStorage/Exception/InvalidMediaBaseUrlPathException.php,"LizardsAndPumpkins\Utils\ImageStorage\Exception"
"Import\Product\Listing\Exception",InvalidNumberOfCriteriaXmlNodesException,src/Product/Exception/InvalidNumberOfCriteriaXmlNodesException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Price\Exception",InvalidNumberOfDecimalPointsForPriceException,src/Product/Exception/InvalidNumberOfDecimalPointsForPriceException.php,"LizardsAndPumpkins\Product\Exception"
"ProductListing\Exception",InvalidNumberOfProductsPerPageException,src/ContentDelivery/Catalog/Exception/InvalidNumberOfProductsPerPageException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Exception"
"Import\Product\Exception",InvalidNumberOfSkusForImportedProductException,src/Projection/Catalog/Import/Exception/InvalidNumberOfSkusForImportedProductException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\Product\Exception",InvalidProductAttributeValueException,src/Product/Exception/InvalidProductAttributeValueException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Exception",InvalidProductIdException,src/Product/Exception/InvalidProductIdException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Image",InvalidProductImageAttributeListException,src/Projection/Catalog/Import/Exception/InvalidProductImageAttributeListException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\Product\Listing\Exception",InvalidProductListingAttributeCodeException,src/Product/Exception/InvalidProductListingAttributeCodeException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Listing\Exception",InvalidProductListingAttributeValueException,src/Product/Exception/InvalidProductListingAttributeValueException.php,"LizardsAndPumpkins\Product\Exception"
"ProductRecommendations\Exception",InvalidProductRelationTypeCodeException,src/ContentDelivery/Catalog/ProductRelations/Exception/InvalidProductRelationTypeCodeException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception"
"ProductRecommendations\Exception",InvalidProductRelationTypeException,src/ContentDelivery/Catalog/ProductRelations/Exception/InvalidProductRelationTypeException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception"
UNUSED,InvalidProductStockQuantitySourceDataException,src/Product/Exception/InvalidProductStockQuantitySourceDataException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Exception",InvalidProductTypeCodeException,src/Product/Exception/InvalidProductTypeCodeException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Exception",InvalidProductTypeCodeForImportedProductException,src/Projection/Catalog/Import/Exception/InvalidProductTypeCodeForImportedProductException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\Exception",InvalidProjectionSourceDataTypeException,src/Exception/InvalidProjectionSourceDataTypeException.php,"LizardsAndPumpkins\Exception"
"Http\ContentDelivery\Exception",InvalidResponseBodyException,src/Http/Exception/InvalidResponseBodyException.php,"LizardsAndPumpkins\Http\Exception"
"DataPool\SearchEngine\Exception",InvalidRowsPerPageException,src/DataPool/SearchEngine/Exception/InvalidRowsPerPageException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
UNUSED,InvalidSearchDocumentContentException,src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentContentException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception"
"DataPool\SearchEngine\Exception",InvalidSearchDocumentFieldKeyException,src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentFieldKeyException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception"
"DataPool\SearchEngine\Exception",InvalidSearchDocumentFieldValueException,src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentFieldValueException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception"
UNUSED,InvalidSearchDocumentStateRepresentationException,src/DataPool/SearchEngine/SearchDocument/Exception/InvalidSearchDocumentStateRepresentationException.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument\Exception"
"ProductSearch\Exception",InvalidSearchFieldToQueryParameterMapException,src/ContentDelivery/Catalog/Search/Exception/InvalidSearchFieldToQueryParameterMapException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\Exception"
"ProductListing\Exception",InvalidSelectedNumberOfProductsPerPageException,src/ContentDelivery/Catalog/Exception/InvalidSelectedNumberOfProductsPerPageException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Exception"
"DataPool\KeyGenerator\Exception",InvalidSnippetCodeException,src/Exception/InvalidSnippetCodeException.php,"LizardsAndPumpkins\Exception"
"Import\Exception",InvalidSnippetContainerCodeException,src/Exception/InvalidSnippetContainerCodeException.php,"LizardsAndPumpkins\Exception"
"Import\Exception",InvalidSnippetContentException,src/ContentDelivery/PageBuilder/Exception/InvalidSnippetContentException.php,"LizardsAndPumpkins\ContentDelivery\PageBuilder\Exception"
"ProductSearch\Exception",InvalidSortOrderDirectionException,src/ContentDelivery/Catalog/Exception/InvalidSortOrderDirectionException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Exception"
UNUSED,InvalidStockQuantitySourceException,src/Product/Exception/InvalidStockQuantitySourceException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Tax\Exception",InvalidTaxClassNameException,src/Product/Tax/Exception/InvalidTaxClassNameException.php,"LizardsAndPumpkins\Product\Tax\Exception"
"Import\Tax\Exception",InvalidTaxRateException,src/Product/Tax/TaxRates/Exception/InvalidTaxRateException.php,"LizardsAndPumpkins\Product\Tax\TaxRates\Exception"
"Import\TemplateRendering\Exception",InvalidTemplateProjectorCodeException,src/Exception/InvalidTemplateProjectorCodeException.php,"LizardsAndPumpkins\Exception"
"DataPool\SearchEngine\FacetFieldTransformation\Exception",InvalidTransformationCodeException,src/ContentDelivery/Catalog/Search/FacetFieldTransformation/Exception/InvalidTransformationCodeException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation\Exception"
"DataPool\SearchEngine\FacetFieldTransformation\Exception",InvalidTransformationInputException,src/ContentDelivery/Catalog/Search/FacetFieldTransformation/Exception/InvalidTransformationInputException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation\Exception"
"DataPool\UrlKeyStore\Exception",InvalidUrlKeySourceException,src/Exception/InvalidUrlKeySourceException.php,"LizardsAndPumpkins\Exception"
"Context\DataVersion\Exception",InvalidVersionException,src/Exception/InvalidVersionException.php,"LizardsAndPumpkins\Exception"
"Context\Website\Exception",InvalidWebsiteCodeException,src/Website/Exception/InvalidWebsiteCodeException.php,"LizardsAndPumpkins\Website\Exception"
"Context\Website\Exception",InvalidWebsiteMapConfigRecordException,src/Website/Exception/InvalidWebsiteMapConfigRecordException.php,"LizardsAndPumpkins\Website\Exception"
"DataPool\KeyValueStore\Exception",KeyNotFoundException,src/DataPool/KeyValue/Exception/KeyNotFoundException.php,"LizardsAndPumpkins\DataPool\KeyValue\Exception"
"DataPool\KeyValueStore\Exception",KeyValueStoreNotAvailableException,src/DataPool/KeyValue/Exception/KeyValueStoreNotAvailableException.php,"LizardsAndPumpkins\DataPool\KeyValue\Exception"
"Import\TemplateRendering",Layout,src/Renderer/Layout.php,"LizardsAndPumpkins\Renderer",tests/Unit/Suites/Renderer/LayoutTest.php
"Import\TemplateRendering\Exception",LayoutFileNotReadableException,src/Renderer/Exception/LayoutFileNotReadableException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\TemplateRendering",LayoutReader,src/Renderer/LayoutReader.php,"LizardsAndPumpkins\Renderer",tests/Unit/Suites/Renderer/LayoutReaderTest.php
UNUSED,LocaleAwareEuroPriceSnippetTransformation,src/ContentDelivery/SnippetTransformation/LocaleAwareEuroPriceSnippetTransformation.php,"LizardsAndPumpkins\ContentDelivery\SnippetTransformation",tests/Unit/Suites/ContentDelivery/SnippetTransformation/LocaleAwareEuroPriceSnippetTransformationTest.php
"Translation\Exception",LocaleDirectoryNotReadableException,src/Renderer/Translation/Exception/LocaleDirectoryNotReadableException.php,"LizardsAndPumpkins\Renderer\Translation\Exception"
UNUSED,LocaleNotSupportedException,src/Renderer/Translation/Exception/LocaleNotSupportedException.php,"LizardsAndPumpkins\Renderer\Translation\Exception"
"Util\FileSystem",LocalFilesystem,src/Utils/LocalFilesystem.php,"LizardsAndPumpkins\Utils",tests/Unit/Suites/Utils/LocalFilesystemTest.php
"Util\FileSystem",LocalFilesystemStorageReader,src/LocalFilesystemStorageReader.php,LizardsAndPumpkins,tests/Unit/Suites/LocalFilesystemStorageReaderTest.php
"Util\FileSystem",LocalFilesystemStorageWriter,src/LocalFilesystemStorageWriter.php,LizardsAndPumpkins,tests/Unit/Suites/LocalFilesystemStorageWriterTest.php
Logging,LoggingCommandHandlerFactory,src/Projection/LoggingCommandHandlerFactory.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/LoggingCommandHandlerFactoryTest.php
Logging,LoggingDomainEventHandlerFactory,src/Projection/LoggingDomainEventHandlerFactory.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/LoggingDomainEventHandlerFactoryTest.php
Logging,LoggingQueueDecorator,src/Queue/LoggingQueueDecorator.php,"LizardsAndPumpkins\Queue",tests/Unit/Suites/Queue/LoggingQueueDecoratorTest.php
Logging,LoggingQueueFactory,src/LoggingQueueFactory.php,LizardsAndPumpkins,tests/Unit/Suites/LoggingQueueFactoryTest.php
UNUSED,MalformedProductListingSourceJsonException,src/Product/Exception/MalformedProductListingSourceJsonException.php,"LizardsAndPumpkins\Product\Exception"
"ProductListing\Import",MalformedSearchCriteriaMetaException,src/Product/Exception/MalformedSearchCriteriaMetaException.php,"LizardsAndPumpkins\Product\Exception"
"Translation\Exception",MalformedTranslationFileException,src/Renderer/Translation/Exception/MalformedTranslationFileException.php,"LizardsAndPumpkins\Renderer\Translation\Exception"
"Import\ImageStorage",MediaDirectoryBaseUrlBuilder,src/Utils/ImageStorage/MediaDirectoryBaseUrlBuilder.php,"LizardsAndPumpkins\Utils\ImageStorage",tests/Unit/Suites/Utils/ImageStorage/MediaDirectoryBaseUrlBuilderTest.php
"Import\TemplateRendering\Exception",MethodNotYetAvailableException,src/Renderer/Exception/MethodNotYetAvailableException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\Product\Listing\Exception",MissingCriterionAttributeNameXmlAttributeException,src/Product/Exception/MissingCriterionAttributeNameXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Listing\Exception",MissingCriterionOperationXmlAttributeException,src/Product/Exception/MissingCriterionOperationXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
UNUSED,MissingProductIdException,src/Product/Exception/MissingProductIdException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Listing\Exception",MissingProductListingAttributeNameXmlAttributeException,src/Product/Exception/MissingProductListingAttributeNameXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"DataPool\KeyGenerator\Exception",MissingSnippetKeyGenerationDataException,src/Exception/MissingSnippetKeyGenerationDataException.php,"LizardsAndPumpkins\Exception"
"Import\Product\Listing\Exception",MissingTypeXmlAttributeException,src/Product/Exception/MissingTypeXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Listing\Exception",MissingUrlKeyXmlAttributeException,src/Product/Exception/MissingUrlKeyXmlAttributeException.php,"LizardsAndPumpkins\Product\Exception"
"Context\Website\Exception",NoConfiguredBaseUrlException,src/BaseUrl/Exception/NoConfiguredBaseUrlException.php,"LizardsAndPumpkins\BaseUrl\Exception"
"DataPool\SearchEngine\Exception",NoFacetFieldTransformationRegisteredException,src/DataPool/SearchEngine/Exception/NoFacetFieldTransformationRegisteredException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
"Util\Factory\Exception",NoMasterFactorySetException,src/Exception/NoMasterFactorySetException.php,"LizardsAndPumpkins\Exception"
"Import\Product\Exception",NoMatchingProductTypeBuilderFactoryFoundException,src/Projection/Catalog/Import/Exception/NoMatchingProductTypeBuilderFactoryFoundException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Http\ContentDelivery\Exception",NonExistingSnippetException,src/ContentDelivery/PageBuilder/Exception/NonExistingSnippetException.php,"LizardsAndPumpkins\ContentDelivery\PageBuilder\Exception"
"ProductListing\Exception",NoSelectedSortOrderException,src/ContentDelivery/Catalog/Exception/NoSelectedSortOrderException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Exception"
"Util\FileSystem\Exception",NotADirectoryException,src/Utils/Exception/NotADirectoryException.php,"LizardsAndPumpkins\Utils\Exception"
"Messaging\Queue\Exception",NotSerializableException,src/Queue/Exception/NotSerializableException.php,"LizardsAndPumpkins\Queue\Exception"
"Http\ContentDelivery\ProductJsonService\Exception",NoValidLocaleInContextException,src/ContentDelivery/SnippetTransformation/Exception/NoValidLocaleInContextException.php,"LizardsAndPumpkins\ContentDelivery\SnippetTransformation\Exception"
RestApi,NullApiRequestHandler,src/Api/NullApiRequestHandler.php,"LizardsAndPumpkins\Api",tests/Unit/Suites/Api/NullApiRequestHandlerTest.php
Logging,NullLogMessageWriter,src/Log/Writer/NullLogMessageWriter.php,"LizardsAndPumpkins\Log\Writer",tests/Unit/Suites/Log/Writer/NullLogMessageWriterTest.php
"Import\Image",NullProductImageImportCommandFactory,src/Projection/Catalog/Import/ImportCommand/NullProductImageImportCommandFactory.php,"LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand",tests/Unit/Suites/Projection/Catalog/Import/ImportCommand/NullProductImageImportCommandFactoryTest.php
"Http\ContentDelivery\PageBuilder",PageBuilder,src/ContentDelivery/PageBuilder.php,"LizardsAndPumpkins\ContentDelivery",tests/Unit/Suites/ContentDelivery/PageBuilderTest.php
"Http\ContentDelivery\PageBuilder",PageBuilderSnippets,src/ContentDelivery/PageBuilder/PageBuilderSnippets.php,"LizardsAndPumpkins\ContentDelivery\PageBuilder",tests/Unit/Suites/ContentDelivery/PageBuilder/PageBuilderSnippetsTest.php
"Http\ContentDelivery\PageBuilder\Exception",PageContentBuildAlreadyTriggeredException,src/ContentDelivery/PageBuilder/Exception/PageContentBuildAlreadyTriggeredException.php,"LizardsAndPumpkins\ContentDelivery\PageBuilder\Exception"
"Import\Price",Price,src/Product/Price.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/PriceTest.php
